"Index","predito","ic.low","ic.upp"
"2020-04-09",17374.2023534278,17069.903435636,17683.9258965971
"2020-04-10",19405.9203136026,18966.980872739,19855.0178198977
"2020-04-11",21675.2248855669,21071.1042389347,22296.6660177108
"2020-04-12",24209.8991569382,23406.4565522068,25040.9204777243
"2020-04-13",27040.9751355984,25999.2231217186,28124.4686758824
